month,trip_count,temperature,temperature_change_since_prev_day
6,22161,27,4
6,20204,27,3
6,11299,21,1
6,15638,21,1
6,15903,21,1
6,18720,27,0
6,22084,26,-2
6,20891,25,-2
6,9032,17,-3
6,12626,17,-3
6,12855,17,-4
6,17630,24,-2
6,20687,24,-1
6,21096,24,-1
6,9272,21,2
6,13121,21,2
6,13854,21,2
6,17297,27,7
6,19288,28,6
6,16651,28,8
6,11009,22,1
6,15728,21,0
6,15586,21,0
6,17299,26,-2
6,20088,26,-2
6,18082,27,-2
6,10856,21,-1
6,15085,20,-1
6,16080,19,-1
6,17724,26,0
6,21076,25,-1
6,20279,24,-3
6,12786,19,-1
6,17274,19,-1
6,16660,19,0
6,17815,21,-6
6,20821,21,-4
6,19664,21,-3
6,8438,21,2
6,11771,21,2
6,12667,21,2
6,9851,18,3
6,14440,18,3
6,14548,17,3
6,19003,26,2
6,22945,26,1
6,21853,25,0
6,10560,19,1
6,15599,19,1
6,15878,19,2
6,19615,18,-8
6,22533,18,-7
6,21733,18,-7
6,10524,17,-2
6,14875,17,-2
6,15406,17,-2
6,17934,21,3
6,21182,21,3
6,21133,21,3
6,8176,18,1
6,11782,17,0
6,12312,17,0
6,16792,26,5
6,19742,27,6
6,20958,27,6
6,8783,23,-1
6,12492,23,-0
6,13306,23,-0
6,14126,24,-7
6,16266,22,-8
6,13726,22,-8
6,9661,20,-3
6,13862,19,-3
6,13794,19,-3
6,16362,23,-1
6,19029,25,3
6,16893,25,3
6,9758,19,-1
6,14000,19,0
6,14150,19,-0
6,15615,28,5
6,18189,28,3
6,17161,27,2
6,8944,22,3
6,13557,22,2
6,13528,21,2
6,15482,29,1
6,18016,29,1
6,17298,29,2
7,6475,23,1
7,8987,23,2
7,10379,23,2
7,7345,23,3
7,11001,23,4
7,10594,23,4
7,16477,29,-0
7,14670,27,-3
7,11071,26,-3
7,8126,22,-1
7,12779,23,-0
7,12230,23,0
7,15004,27,-2
7,16474,28,1
7,15094,28,2
7,8273,23,1
7,12816,23,0
7,12547,22,-1
7,15688,28,2
7,17781,29,1
7,15943,27,-2
7,6811,21,-2
7,9986,20,-3
7,10558,21,-2
7,18945,28,-0
7,17871,27,-2
7,17860,23,-3
7,8339,20,-1
7,12607,19,-1
7,12075,19,-1
7,14464,28,0
7,16046,28,1
7,13672,27,2
7,9818,22,2
7,14476,22,2
7,14348,21,2
7,18013,30,2
7,10005,26,4
7,14511,25,3
7,15137,24,3
7,9794,23,-2
7,14506,23,-2
7,14686,23,-1
7,19036,29,-3
7,7706,24,1
7,11237,23,0
7,11719,23,0
7,16969,29,-2
7,19178,29,-2
7,19830,28,-1
7,10106,26,3
7,13090,25,3
7,12491,25,2
7,14810,26,0
7,16611,26,-2
7,15368,24,-3
7,9673,23,-3
7,14400,23,-2
7,14392,23,-2
7,10041,27,4
7,15087,26,3
7,15972,26,3
7,10503,27,0
7,15676,27,1
7,16035,26,0
7,18450,25,-9
7,21764,26,-8
7,20352,27,-7
7,7780,27,0
7,11507,27,0
7,12032,26,0
7,9030,28,0
7,13388,28,1
7,12906,28,1
7,14517,24,-10
7,16239,26,-8
7,14067,26,-7
7,10378,23,-5
7,14369,22,-6
7,14393,22,-6
7,17058,25,1
7,19559,26,0
7,16946,26,0
7,10533,22,-2
7,14759,22,0
7,14836,21,-1
7,17665,28,3
7,20106,28,3
7,18741,28,2
7,9778,24,2
7,14334,23,1
7,14727,23,2
7,18078,29,1
7,21109,30,2
7,19692,29,1
7,7556,25,1
7,11172,24,1
7,11515,24,1
7,16529,28,-2
7,19299,28,-2
7,20651,29,0
8,8356,21,-2
8,12353,21,-2
8,12179,21,-1
8,13673,22,-8
8,14725,22,-7
8,12882,23,-5
8,9375,22,2
8,14062,22,2
8,13857,22,2
8,9737,24,2
8,14232,23,1
8,14501,22,0
8,9452,26,2
8,13984,26,2
8,14341,26,3
8,7819,27,1
8,12124,26,0
8,11533,26,0
8,8284,27,0
8,12706,26,-1
8,12264,26,-1
8,9766,28,2
8,14914,28,2
8,15274,28,2
8,9736,26,-3
8,14407,24,-3
8,13201,24,-3
8,15121,28,-7
8,16161,29,-6
8,11504,25,-1
8,15125,24,0
8,14541,24,0
8,16963,30,2
8,6991,23,-2
8,10234,23,-2
8,10961,22,-2
8,15830,28,-2
8,17924,28,-2
8,18380,29,-2
8,7543,22,2
8,11432,21,2
8,11045,20,1
8,13143,28,2
8,14514,28,1
8,12475,27,0
8,8434,20,-2
8,13173,21,-0
8,12660,19,-1
8,15640,28,0
8,17434,28,0
8,15274,28,1
8,8663,20,0
8,13445,19,-1
8,13157,20,1
8,15587,27,-1
8,17362,26,-2
8,15845,26,-2
8,8294,18,-2
8,12342,18,-1
8,12527,18,-2
8,16010,29,3
8,18113,29,4
8,16571,28,2
8,6564,22,3
8,9414,21,3
8,10367,21,3
8,18124,30,2
8,7595,23,0
8,11460,23,0
8,11095,23,1
8,14528,24,-2
8,14149,26,-1
8,12338,25,-2
8,8185,23,-0
8,12879,22,-1
8,12743,22,-1
8,15191,29,5
8,16580,28,2
8,15013,28,3
8,8421,23,0
8,13139,22,0
8,12973,22,-0
8,18528,30,2
8,8273,23,0
8,12258,23,1
8,12559,22,0
8,6720,25,2
8,9354,24,2
8,10383,24,2
8,16215,26,-7
8,18154,25,-7
8,18700,26,-6
8,7489,24,0
8,11334,24,1
8,11006,24,1
8,13090,29,2
8,14211,29,2
8,12610,29,2
8,8357,24,-0
8,13188,24,-0
8,12797,24,0
8,17089,29,0
8,15272,30,1
8,8491,22,-2
8,12674,22,-2
8,12681,21,-4
8,14888,28,-3
8,16719,29,0
8,15959,28,-2
9,8236,21,-1
9,12054,21,-1
9,12704,21,0
9,14876,29,2
9,16776,29,0
9,15770,30,2
9,6509,18,-3
9,9113,18,-3
9,9923,17,-4
9,15566,26,-4
